District,Total,Date
Sivagangai,113102,31-05-2021
Tenkasi,107666,31-05-2021
Thanjavur,213036,31-05-2021
Theni,97272,31-05-2021
Thoothukudi,150698,31-05-2021
Tiruchirapalli,324630,31-05-2021
Tirunelveli,138147,31-05-2021
Tirupathur,109099,31-05-2021
Tiruppur,233828,31-05-2021
Tiruvallur,286742,31-05-2021
Tiruvannamalai,142296,31-05-2021
Tiruvarur,90234,31-05-2021
Vellore,220956,31-05-2021
Villupuram,161057,31-05-2021
Virudhunagar,272221,31-05-2021
