District,Total,Date
Dindigul,140753,04-05-2021
Erode,143298,04-05-2021
Kallakurichi,57101,04-05-2021
Kancheepuram,69505,04-05-2021
Kanniyakumari,122168,04-05-2021
Karur,58169,04-05-2021
Krishnagiri,136473,04-05-2021
Madurai,233264,04-05-2021
Nagapattinam,60006,04-05-2021
Namakkal,145846,04-05-2021
The Nilgiris,136671,04-05-2021
Perambalur,34942,04-05-2021
Pudukkottai,84259,04-05-2021
Ramanathapuram,72763,04-05-2021
Ranipet,47657,04-05-2021
Salem,354015,04-05-2021
Sivagangai,68513,04-05-2021
Tenkasi,62776,04-05-2021
Thanjavur,144773,04-05-2021
Theni,60317,04-05-2021
Thoothukudi,81571,04-05-2021
Tiruchirapalli,219081,04-05-2021
Tirunelveli,75325,04-05-2021
Tirupathur,69113,04-05-2021
Tiruppur,138311,04-05-2021
Tiruvallur,188120,04-05-2021
Tiruvannamalai,83902,04-05-2021
Tiruvarur,46857,04-05-2021
Vellore,171174,04-05-2021
Villupuram,105867,04-05-2021
Virudhunagar,190673,04-05-2021
Ariyalur,23022,05-04-2021
Chengalpattu,136391,05-04-2021
Chennai,859997,05-04-2021
Coimbatore,210798,05-04-2021
Cuddalore,81335,05-04-2021
Dharmapuri,52007,05-04-2021
Dindigul,70189,05-04-2021
Erode,74568,05-04-2021
Kallakurichi,34570,05-04-2021
Kancheepuram,38553,05-04-2021
Kanniyakumari,64074,05-04-2021
Karur,36568,05-04-2021
Krishnagiri,87525,05-04-2021
Madurai,135747,05-04-2021
Nagapattinam,33791,05-04-2021
Namakkal,85860,05-04-2021
The Nilgiris,78776,05-04-2021
Perambalur,21594,05-04-2021
Pudukkottai,46085,05-04-2021
Ramanathapuram,37104,05-04-2021
Ranipet,25032,05-04-2021
Salem,207909,05-04-2021
Sivagangai,39410,05-04-2021
Tenkasi,36010,05-04-2021
Thanjavur,85328,05-04-2021
Theni,30172,05-04-2021
Thoothukudi,40451,05-04-2021
Tiruchirapalli,122208,05-04-2021
Tirunelveli,41431,05-04-2021
Tirupathur,33856,05-04-2021
Tiruppur,74267,05-04-2021
Tiruvallur,97690,05-04-2021
Tiruvannamalai,48316,05-04-2021
Tiruvarur,22535,05-04-2021
Vellore,94093,05-04-2021
Villupuram,76269,05-04-2021
Virudhunagar,117326,05-04-2021
Ariyalur,43795,05-05-2021
Chengalpattu,264464,05-05-2021
Chennai,1524158,05-05-2021
Coimbatore,425934,05-05-2021
Cuddalore,148588,05-05-2021
Dharmapuri,89917,05-05-2021
Dindigul,141457,05-05-2021
Erode,144383,05-05-2021
Kallakurichi,58212,05-05-2021
Kancheepuram,70329,05-05-2021
Kanniyakumari,123051,05-05-2021
Karur,59454,05-05-2021
Krishnagiri,138442,05-05-2021
Madurai,234767,05-05-2021
Nagapattinam,60793,05-05-2021
Namakkal,146458,05-05-2021
The Nilgiris,137330,05-05-2021
Perambalur,35351,05-05-2021
Pudukkottai,85449,05-05-2021
Ramanathapuram,73502,05-05-2021
Ranipet,48616,05-05-2021
Salem,357970,05-05-2021
Sivagangai,69603,05-05-2021
Tenkasi,64064,05-05-2021
Thanjavur,145810,05-05-2021
Theni,61014,05-05-2021
Thoothukudi,82568,05-05-2021
Tiruchirapalli,221791,05-05-2021
Tirunelveli,76441,05-05-2021
Tirupathur,69942,05-05-2021
Tiruppur,138498,05-05-2021
Tiruvallur,190187,05-05-2021
Tiruvannamalai,85132,05-05-2021
Tiruvarur,47606,05-05-2021
Vellore,172315,05-05-2021
Villupuram,107011,05-05-2021
Virudhunagar,192811,05-05-2021
Ariyalur,22764,06-04-2021
Chengalpattu,132630,06-04-2021
Chennai,844910,06-04-2021
Coimbatore,209077,06-04-2021
Cuddalore,79555,06-04-2021
Dharmapuri,51565,06-04-2021
Dindigul,68899,06-04-2021
Erode,72847,06-04-2021
Kallakurichi,33830,06-04-2021
Kancheepuram,37801,06-04-2021
Kanniyakumari,62662,06-04-2021
Karur,35896,06-04-2021
Krishnagiri,85795,06-04-2021
Madurai,132937,06-04-2021
Nagapattinam,33094,06-04-2021
Namakkal,84655,06-04-2021
The Nilgiris,76776,06-04-2021
Perambalur,21381,06-04-2021
Pudukkottai,44903,06-04-2021
Ramanathapuram,35459,06-04-2021
Ranipet,24358,06-04-2021
Salem,203547,06-04-2021
Sivagangai,38790,06-04-2021
Tenkasi,35511,06-04-2021
Thanjavur,83703,06-04-2021
Theni,29310,06-04-2021
Thoothukudi,39552,06-04-2021
Tiruchirapalli,119288,06-04-2021
Tirunelveli,40258,06-04-2021
Tirupathur,33086,06-04-2021
Tiruppur,72364,06-04-2021
Tiruvallur,95673,06-04-2021
Tiruvannamalai,47356,06-04-2021
Tiruvarur,22195,06-04-2021
Vellore,92254,06-04-2021
Villupuram,75232,06-04-2021
Virudhunagar,115180,06-04-2021
Ariyalur,44888,06-05-2021
Chengalpattu,268123,06-05-2021
Chennai,1545478,06-05-2021
Coimbatore,430003,06-05-2021
Cuddalore,150916,06-05-2021
Dharmapuri,91675,06-05-2021
Dindigul,143841,06-05-2021
Erode,146489,06-05-2021
Kallakurichi,59248,06-05-2021
Kancheepuram,71614,06-05-2021
Kanniyakumari,123361,06-05-2021
Karur,60390,06-05-2021
Krishnagiri,141281,06-05-2021
Madurai,239343,06-05-2021
Nagapattinam,61765,06-05-2021
Namakkal,151537,06-05-2021
The Nilgiris,144060,06-05-2021
Perambalur,35709,06-05-2021
Pudukkottai,86915,06-05-2021
Ramanathapuram,74630,06-05-2021
Ranipet,49139,06-05-2021
Salem,364469,06-05-2021
Sivagangai,70997,06-05-2021
Tenkasi,64975,06-05-2021
Thanjavur,148357,06-05-2021
Theni,61677,06-05-2021
