District,Total,Date,Population,Vac,,,,,
Sivagangai,66394,02-05-2021,"34,80,008",1907.869177,,,,,
Tenkasi,59859,02-05-2021,"13,41,250",4462.926375,,,,,
Thanjavur,141933,02-05-2021,"14,07,627",10083.13992,,,,,
Theni,58424,02-05-2021,"27,13,858",2152.802394,,,,,
Thoothukudi,79494,02-05-2021,"12,43,684",6391.816571,,,,,
Tiruchirapalli,213558,02-05-2021,"16,65,253",12824.35762,,,,,
Tirunelveli,73599,02-05-2021,"24,02,781",3063.075661,,,,,
Tirupathur,68036,02-05-2021,"17,38,376",3913.767792,,,,,
Tiruppur,135410,02-05-2021,"11,11,812",12179.21735,,,,,
Tiruvallur,183652,02-05-2021,"37,25,697",4929.332686,,,,,
Tiruvannamalai,82116,02-05-2021,"12,68,094",6475.545188,,,,,
Tiruvarur,45371,02-05-2021,"24,68,965",1837.65262,,,,,
Vellore,168632,02-05-2021,"16,14,242",10446.51298,,,,,
Villupuram,100808,02-05-2021,"20,93,003",4816.428835,,,,,
Virudhunagar,185469,02-05-2021,"19,43,309",9543.978853,,,,,
Ariyalur,617,02-06-2021,"7,52,481",81.9954258,,,,,
Chengalpattu,801,02-06-2021,"25,56,244",31.33503687,,,,,
Chennai,4866,02-06-2021,"71,00,000",68.53521127,,,,,
Coimbatore,3054,02-06-2021,"34,72,578",87.94618868,,,,,
Cuddalore,4117,02-06-2021,"26,00,880",158.2925779,,,,,
Dharmapuri,612,02-06-2021,"15,02,900",40.72127221,,,,,
Dindigul,477,02-06-2021,"21,61,367",22.06936629,,,,,
Erode,569,02-06-2021,"22,59,608",25.18135889,,,,,
Kallakurichi,56,02-06-2021,"13,70,281",4.086753009,,,,,
Kancheepuram,735,02-06-2021,"11,66,401",63.01434927,,,,,
Kanniyakumari,406,02-06-2021,"18,63,178",21.79072531,,,,,
Karur,0,02-06-2021,"10,76,588",0,,,,,
Krishnagiri,2245,02-06-2021,"18,83,731",119.1783753,,,,,
Madurai,973,02-06-2021,"39,91,038",24.37962254,,,,,
Nagapattinam,708,02-06-2021,"16,14,069",43.86429576,,,,,
Namakkal,389,02-06-2021,"7,35,071",52.92005806,,,,,
The Nilgiris,696,02-06-2021,"24,71,222",28.16420378,,,,,
Perambalur,222,02-06-2021,"17,21,179",12.89813552,,,,,
Pudukkottai,842,02-06-2021,"5,64,511",149.1556409,,,,,
Ramanathapuram,2137,02-06-2021,"19,18,725",111.376044,,,,,
Ranipet,1203,02-06-2021,"13,37,560",89.93989055,,,,,
Salem,3156,02-06-2021,"12,10,277",260.7667501,,,,,
Sivagangai,1718,02-06-2021,"34,80,008",49.3677026,,,,,
Tenkasi,219,02-06-2021,"13,41,250",16.32805219,,,,,
Thanjavur,225,02-06-2021,"14,07,627",15.98434813,,,,,
Theni,6428,02-06-2021,"27,13,858",236.8583765,,,,,
Thoothukudi,2975,02-06-2021,"12,43,684",239.2086736,,,,,
Tiruchirapalli,2859,02-06-2021,"16,65,253",171.6856237,,,,,
Tirunelveli,1368,02-06-2021,"24,02,781",56.9340277,,,,,
Tirupathur,2222,02-06-2021,"17,38,376",127.8204485,,,,,
Tiruppur,1877,02-06-2021,"11,11,812",168.8235061,,,,,
Tiruvallur,1258,02-06-2021,"37,25,697",33.76549408,,,,,
Tiruvannamalai,1845,02-06-2021,"12,68,094",145.493946,,,,,
Tiruvarur,12,02-06-2021,"24,68,965",0.486033621,,,,,
